Title,Description,Type
Security Awareness (A230),"All public servants are required to contribute actively to the protection of government personnel, information, assets and services. This online course provides the foundational knowledge and tools required to meet your responsibilities under the Directive on Departmental Security Management. Participants will gain valuable knowledge and best practices to help them apply the principles of security awareness in their organization.",Online
Fundamentals of Writing for the Web (A313),"As more and more Canadians turn to the Internet for information and services, creating an effective web presence is vital for all government organizations. This course introduces new web writers to best practices for planning, writing and managing their web content. Participants will learn techniques for creating clear, readable content that best serves their audience's needs.",Classroom
Harmonized Threat and Risk Assessment (HTRA) (A341),"Physical and IT security specialists within the Government of Canada must be able to make informed decisions about security and recommend appropriate, cost-effective safeguards. This course introduces a comprehensive five-phase threat and risk assessment (TRA) methodology, applicable to any security situation, with practical examples and exercises. Participants will learn to interpret a completed TRA, apply the Harmonized Threat and Risk Assessment (HTRA) methodology to practical environments and understand how a TRA fits in their overall security program.[A341]

Topics include
asset identification and valuation
potential threats and vulnerabilities
existing and proposed safeguards
residual risk
final report and recommendations",Classroom
Value-added Oversight of Public Resources: The Role of Internal Audit (A705),"This course is an excellent introduction for all public servants to a key pillar of overseeing public resources throughout the Government of Canada. Management, staff and auditors new to the profession will learn why and how specific tools and processes are used in ensuring recommendations for operational improvements are evidence-based. The course introduces the principles underlying the professional practice of internal audit and then leads participants through the steps and thinking involved at each phase of the audit activity. .",Classroom
Being Brief: Making a Request Efficiently (B196),"The way in which public servants communicate is changing and adapting to new work realities. This interactive course provides strategies and tools to make verbal requests in two minutes or less while ensuring that a complete and well-constructed message is delivered. At the end of the course, participants will be able to express their requests explicitly and concisely to their immediate supervisor or director who will in turn adopt the same model to effectively share their thoughts.

Topics include
Concision
How to summarize
Making a request
Note
This activity has been designed for public servants and functional specialists in communications in the public service of Canada. If you are an EX-level employee, the School recommends the course Effective Two Minute Briefings (Z132).",Classroom
Writing Briefing Notes (C110),"Briefing notes are a key part of communication with senior management and can directly influence the decision-making process. This course equips participants with the knowledge and skills they need to write briefing notes that meet specific communication goals.  Participants will learn how to prepare clear, concise and strategic briefing notes that are in line with their objectives.
[C110]
Topics include: 
� Purpose and types of briefing notes
� How to write a briefing note in clear and concise language
� Analyzing communication objectives
� Planning, drafting and revising a briefing note",Online
Selection of Candidate Using an Objective Eye (C139),"Federal legislation and policies are essential to supporting a bias-free appointment process. This online course outlines the importance of an objective eye in the appointment process and identifies areas where bias might be introduced when finding the right fit for an appointment position. Participants will learn about the issues, potential concerns and strategies that can and should be implemented to ensure a bias-free appointment process. ",Online
Introduction to Risk Management (C210),"Integrated risk management is a critical aspect of the decision-making process. This course explores the fundamental concepts, terminology and processes of risk management and integrated risk management within the context of the federal public service. Participants will gain valuable knowledge and best practices to help them apply the principles of risk management and integrated risk management in their organization.

Topics include: 
1.Risk management terminology and concepts
2.Common risk management processes
3.Integrated risk management processes",Online
Green Procurement (C215),"It is important to incorporate environmental performance considerations into procurement decisions. This online course introduces the federal government's Policy on Green Procurement and provides detailed strategies and tools for applying its principles throughout the procurement process. Participants will explore the reasons for buying green, identify the major eco-labels and what makes a good or service green, apply life-cycle analysis and define value for money.",Online
Who We Work For (C218),"It is important that all new and experienced public servants alike have a foundational understanding of how Canada's non-partisan federal public service serves the democratically elected government of the day. This online course examines the functions and the organizational relationships between Parliament, the Government of Canada and the federal public service. Participants will explore the role of government, how Canada governs itself, the organization of the federal government, the functions of departments and central agencies and common government services.",Online
