Title,Description,Type,description_word_count,title_word_count,description_tf_idf,title_tf_idf
Security Awareness (A230),"All public servants are required to contribute actively to the protection of government personnel, information, assets and services. This online course provides the foundational knowledge and tools required to meet your responsibilities under the Directive on Departmental Security Management. Participants will gain valuable knowledge and best practices to help them apply the principles of security awareness in their organization.",Online,"{""organization"":1,""this"":1,""and"":3,""course"":1,""government"":1,""foundational"":1,""online"":1,""the"":4,""of"":2,""services"":1,""servants"":1,""help"":1,""all"":1,""to"":4,""tools"":1,""management"":1,""information"":1,""public"":1,""participants"":1,""are"":1,""departmental"":1,""gain"":1,""protection"":1,""assets"":1,""personnel"":1,""provides"":1,""valuable"":1,""contribute"":1,""security"":2,""actively"":1,""knowledge"":2,""meet"":1,""practices"":1,""responsibilities"":1,""required"":2,""under"":1,""directive"":1,""best"":1,""your"":1,""on"":1,""will"":1,""them"":1,""awareness"":1,""apply"":1,""principles"":1,""in"":1,""their"":1}","{""a230"":1,""awareness"":1,""security"":1}","{""organization."":3.82428,""foundational"":4.84594,""online"":3.11133,""this"":0.850797,""and"":1.94871,""course"":1.42276,""assets"":5.09725,""government"":2.35181,""personnel,"":7.04316,""meet"":4.09872,""of"":1.59799,""servants"":3.57742,""help"":2.64871,""all"":2.82365,""to"":2.76212,""services."":4.20995,""public"":2.06643,""participants"":2.06643,""are"":1.83915,""the"":2.75516,""tools"":3.28196,""departmental"":4.64526,""gain"":3.64196,""protection"":5.43372,""provides"":2.5323,""valuable"":4.96372,""contribute"":4.96372,""security"":8.09486,""actively"":5.94455,""knowledge"":6.47299,""practices"":3.17196,""responsibilities"":3.09192,""required"":7.28393,""under"":4.4041,""directive"":4.55825,""information,"":5.43372,""best"":3.01781,""your"":2.03921,""on"":1.6913,""will"":1.48248,""them"":3.45964,""awareness"":4.04743,""apply"":3.71096,""principles"":3.67586,""management."":3.99864,""in"":0.881953,""their"":1.93117}","{""(a230)"":7.04316,""awareness"":5.65687,""security"":3.54665}"
Fundamentals of Writing for the Web (A313),"As more and more Canadians turn to the Internet for information and services, creating an effective web presence is vital for all government organizations. This course introduces new web writers to best practices for planning, writing and managing their web content. Participants will learn techniques for creating clear, readable content that best serves their audience's needs.",Classroom,"{""needs"":1,""audience"":1,""serves"":1,""clear"":1,""learn"":1,""participants"":1,""that"":1,""their"":2,""s"":1,""techniques"":1,""writing"":1,""planning"":1,""writers"":1,""new"":1,""for"":4,""effective"":1,""information"":1,""services"":1,""the"":1,""more"":2,""content"":2,""to"":2,""will"":1,""an"":1,""internet"":1,""turn"":1,""government"":1,""canadians"":1,""readable"":1,""and"":3,""managing"":1,""best"":2,""as"":1,""creating"":2,""introduces"":1,""all"":1,""web"":3,""presence"":1,""course"":1,""is"":1,""practices"":1,""organizations"":1,""vital"":1,""this"":1}","{""web"":1,""for"":1,""a313"":1,""the"":1,""writing"":1,""of"":1,""fundamentals"":1}","{""needs."":5.43372,""audience's"":5.94455,""serves"":5.94455,""clear,"":5.43372,""learn"":1.93721,""participants"":2.06643,""content."":5.43372,""that"":1.71528,""their"":3.86234,""techniques"":3.15134,""writing"":4.33511,""practices"":3.17196,""writers"":7.04316,""planning,"":5.09725,""new"":2.96562,""for"":5.20063,""effective"":2.54335,""information"":2.90003,""the"":0.68879,""more"":5.83205,""content"":4.33511,""to"":1.38106,""services,"":4.84594,""will"":1.48248,""an"":1.68657,""internet"":6.35001,""turn"":6.35001,""government"":2.35181,""canadians"":4.84594,""readable"":7.04316,""and"":1.94871,""managing"":3.2365,""best"":6.03562,""as"":1.99973,""creating"":8.09486,""web"":16.9706,""presence"":5.65687,""course"":1.42276,""is"":1.47101,""introduces"":3.60917,""all"":2.82365,""organizations."":4.96372,""vital"":4.74057,""this"":0.850797}","{""(a313)"":7.04316,""web"":5.65687,""for"":2.28957,""the"":1.75489,""writing"":5.2514,""of"":2.02588,""fundamentals"":4.47821}"
Harmonized Threat and Risk Assessment (HTRA) (A341),"Physical and IT security specialists within the Government of Canada must be able to make informed decisions about security and recommend appropriate, cost-effective safeguards. This course introduces a comprehensive five-phase threat and risk assessment (TRA) methodology, applicable to any security situation, with practical examples and exercises. Participants will learn to interpret a completed TRA, apply the Harmonized Threat and Risk Assessment (HTRA) methodology to practical environments and understand how a TRA fits in their overall security program.[A341]\n\nTopics include\nasset identification and valuation\npotential threats and vulnerabilities\nexisting and proposed safeguards\nresidual risk\nfinal report and recommendations",Classroom,"{""final"":1,""residual"":1,""existing"":1,""vulnerabilities"":1,""potential"":1,""include"":1,""a341"":1,""their"":1,""in"":1,""how"":1,""report"":1,""understand"":1,""environments"":1,""htra"":1,""apply"":1,""appropriate"":1,""practical"":2,""topics"":1,""decisions"":1,""it"":1,""valuation"":1,""program"":1,""this"":1,""with"":1,""able"":1,""cost"":1,""introduces"":1,""any"":1,""to"":4,""interpret"":1,""proposed"":1,""identification"":1,""informed"":1,""course"":1,""overall"":1,""phase"":1,""and"":10,""five"":1,""completed"":1,""exercises"":1,""about"":1,""security"":4,""learn"":1,""make"":1,""must"":1,""effective"":1,""canada"":1,""be"":1,""within"":1,""safeguards"":2,""the"":2,""recommendations"":1,""of"":1,""a"":3,""recommend"":1,""comprehensive"":1,""asset"":1,""threat"":2,""risk"":3,""harmonized"":1,""situation"":1,""physical"":1,""assessment"":2,""government"":1,""tra"":3,""methodology"":2,""fits"":1,""applicable"":1,""examples"":1,""participants"":1,""threats"":1,""specialists"":1,""will"":1}","{""a341"":1,""assessment"":1,""risk"":1,""and"":1,""threat"":1,""htra"":1,""harmonized"":1}","{""final"":5.2514,""residual"":7.04316,""safeguards"":7.04316,""existing"":4.74057,""vulnerabilities"":6.35001,""potential"":4.27057,""program.[a341]"":7.04316,""their"":1.93117,""in"":0.881953,""how"":1.41195,""report"":5.2514,""understand"":3.32959,""environments"":5.65687,""methodology"":7.04316,""overall"":5.65687,""(htra)"":7.04316,""cost-effective"":5.65687,""topics"":2.27248,""decisions"":3.95212,""it"":1.85577,""valuation"":7.04316,""this"":0.850797,""with"":1.38717,""able"":3.54665,""introduces"":3.60917,""any"":3.86511,""to"":2.76212,""interpret"":5.65687,""proposed"":7.04316,""identification"":6.35001,""informed"":5.65687,""safeguards."":7.04316,""course"":1.42276,""include"":2.72567,""methodology,"":7.04316,""and"":6.49569,""(tra)"":7.04316,""about"":2.43799,""security"":16.1897,""exercises."":5.65687,""learn"":1.93721,""make"":3.21452,""must"":2.96562,""canada"":2.85351,""be"":2.11591,""within"":3.07287,""tra"":7.04316,""government"":2.35181,""practical"":6.65918,""apply"":3.71096,""appropriate,"":7.04316,""the"":1.37758,""recommendations"":4.96372,""of"":0.798993,""a"":3.24646,""recommend"":7.04316,""comprehensive"":5.09725,""asset"":5.43372,""threat"":10.8674,""five-phase"":7.04316,""fits"":5.94455,""applicable"":5.2514,""risk"":11.5953,""harmonized"":6.35001,""physical"":4.96372,""assessment"":8.54114,""situation,"":4.84594,""examples"":4.27057,""participants"":2.06643,""threats"":6.35001,""specialists"":4.27057,""will"":1.48248,""completed"":4.96372,""tra,"":7.04316}","{""(a341)"":7.04316,""(htra)"":7.04316,""assessment"":5.43372,""risk"":4.55825,""and"":1.61381,""threat"":7.04316,""harmonized"":7.04316}"
Value-added Oversight of Public Resources: The Role of Internal Audit (A705),"This course is an excellent introduction for all public servants to a key pillar of overseeing public resources throughout the Government of Canada. Management, staff and auditors new to the profession will learn why and how specific tools and processes are used in ensuring recommendations for operational improvements are evidence-based. The course introduces the principles underlying the professional practice of internal audit and then leads participants through the steps and thinking involved at each phase of the audit activity. .",Classroom,"{""activity"":1,""phase"":1,""at"":1,""involved"":1,""thinking"":1,""participants"":1,""through"":1,""then"":1,""audit"":2,""practice"":1,""government"":1,""canada"":1,""why"":1,""the"":7,""management"":1,""tools"":1,""pillar"":1,""are"":2,""principles"":1,""steps"":1,""a"":1,""based"":1,""this"":1,""course"":2,""is"":1,""an"":1,""professional"":1,""will"":1,""internal"":1,""public"":2,""excellent"":1,""leads"":1,""in"":1,""resources"":1,""introduction"":1,""for"":2,""overseeing"":1,""servants"":1,""staff"":1,""processes"":1,""and"":5,""to"":2,""all"":1,""ensuring"":1,""auditors"":1,""of"":4,""recommendations"":1,""each"":1,""introduces"":1,""new"":1,""profession"":1,""learn"":1,""throughout"":1,""how"":1,""underlying"":1,""specific"":1,""key"":1,""evidence"":1,""used"":1,""operational"":1,""improvements"":1}","{""a705"":1,""value"":1,""of"":2,""added"":1,""role"":1,""oversight"":1,""internal"":1,""public"":1,""the"":1,""resources"":1,""audit"":1}","{""."":7.04316,""activity."":6.35001,""phase"":5.09725,""at"":2.54335,""thinking"":4.64526,""participants"":2.06643,""through"":2.88428,""then"":4.74057,""audit"":11.8891,""practice"":3.99864,""involved"":4.64526,""management,"":3.86511,""auditors"":7.04316,""government"":2.35181,""the"":4.82153,""tools"":3.28196,""recommendations"":4.96372,""of"":3.19597,""pillar"":7.04316,""are"":3.67831,""principles"":3.67586,""steps"":3.82428,""a"":1.08215,""this"":0.850797,""course"":2.84552,""is"":1.47101,""an"":1.68657,""internal"":4.27057,""public"":4.13285,""canada."":3.74732,""excellent"":5.94455,""leads"":5.43372,""in"":0.881953,""resources"":3.2365,""introduction"":4.96372,""for"":2.60031,""overseeing"":7.04316,""servants"":3.57742,""evidence-based."":7.04316,""staff"":6.35001,""processes"":4.15279,""and"":3.24785,""to"":1.38106,""all"":2.82365,""ensuring"":4.74057,""each"":4.04743,""introduces"":3.60917,""new"":2.96562,""profession"":7.04316,""learn"":1.93721,""why"":3.99864,""throughout"":5.09725,""how"":1.41195,""underlying"":5.43372,""specific"":4.04743,""key"":2.48928,""used"":4.09872,""will"":1.48248,""professional"":3.95212,""operational"":4.96372,""improvements"":5.94455}","{""(a705)"":7.04316,""audit"":5.09725,""resources:"":6.35001,""the"":1.75489,""public"":2.86877,""of"":4.05176,""internal"":4.47821,""role"":4.84594,""oversight"":7.04316,""value-added"":7.04316}"
Being Brief: Making a Request Efficiently (B196),"The way in which public servants communicate is changing and adapting to new work realities. This interactive course provides strategies and tools to make verbal requests in two minutes or less while ensuring that a complete and well-constructed message is delivered. At the end of the course, participants will be able to express their requests explicitly and concisely to their immediate supervisor or director who will in turn adopt the same model to effectively share their thoughts.\n\nTopics include\nConcision\nHow to summarize\nMaking a request\nNote\nThis activity has been designed for public servants and functional specialists in communications in the public service of Canada. If you are an EX-level employee, the School recommends the course Effective Two Minute Briefings (Z132).",Classroom,"{""briefings"":1,""recommends"":1,""school"":1,""employee"":1,""ex"":1,""are"":1,""you"":1,""effective"":1,""canada"":1,""service"":1,""activity"":1,""an"":1,""note"":1,""request"":1,""making"":1,""how"":1,""include"":1,""thoughts"":1,""for"":1,""share"":1,""effectively"":1,""adopt"":1,""supervisor"":1,""concisely"":1,""explicitly"":1,""designed"":1,""strategies"":1,""communications"":1,""public"":3,""interactive"":1,""topics"":1,""provides"":1,""minute"":1,""functional"":1,""this"":2,""tools"":1,""the"":7,""realities"":1,""new"":1,""make"":1,""concision"":1,""work"":1,""specialists"":1,""will"":2,""director"":1,""less"":1,""and"":5,""turn"":1,""in"":5,""immediate"":1,""which"":1,""z132"":1,""complete"":1,""way"":1,""participants"":1,""communicate"":1,""requests"":2,""servants"":2,""course"":3,""level"":1,""is"":2,""model"":1,""verbal"":1,""two"":2,""who"":1,""adapting"":1,""at"":1,""minutes"":1,""or"":2,""while"":1,""been"":1,""changing"":1,""that"":1,""express"":1,""their"":3,""a"":2,""has"":1,""summarize"":1,""well"":1,""to"":6,""ensuring"":1,""constructed"":1,""if"":1,""same"":1,""message"":1,""delivered"":1,""end"":1,""of"":2,""be"":1,""able"":1}","{""a"":1,""making"":1,""efficiently"":1,""brief"":1,""b196"":1,""request"":1,""being"":1}","{""(z132)."":7.04316,""briefings"":6.35001,""effective"":2.54335,""recommends"":5.94455,""school"":4.4041,""ex-level"":7.04316,""are"":1.83915,""you"":1.89567,""activity"":5.2514,""an"":1.68657,""note"":4.84594,""request"":5.65687,""making"":3.95212,""has"":3.21452,""summarize"":5.94455,""how"":1.41195,""include"":2.72567,""service"":2.60051,""thoughts."":7.04316,""for"":1.30016,""share"":4.33511,""effectively"":3.25897,""adopt"":5.65687,""supervisor"":5.43372,""canada."":3.74732,""concisely"":7.04316,""explicitly"":7.04316,""designed"":3.28196,""strategies"":3.05418,""communications"":4.4041,""public"":6.19928,""interactive"":4.74057,""topics"":2.27248,""provides"":2.5323,""minute"":5.94455,""functional"":4.64526,""this"":1.70159,""tools"":3.28196,""the"":4.82153,""well-constructed"":7.04316,""realities."":6.35001,""director"":4.4041,""less"":5.65687,""concision"":7.04316,""work"":2.55452,""specialists"":4.27057,""will"":2.96496,""new"":2.96562,""make"":3.21452,""employee,"":7.04316,""and"":3.24785,""to"":4.14318,""course,"":2.64871,""ensuring"":4.74057,""turn"":6.35001,""in"":4.40976,""immediate"":5.65687,""which"":3.3796,""complete"":3.71096,""way"":3.78506,""participants"":2.06643,""communicate"":4.04743,""requests"":10.8674,""servants"":7.15485,""course"":2.84552,""is"":2.94201,""model"":4.96372,""verbal"":6.35001,""two"":8.95642,""minutes"":5.65687,""or"":4.87598,""while"":3.43224,""been"":4.04743,""changing"":4.47821,""that"":1.71528,""express"":5.94455,""their"":5.79352,""a"":2.16431,""if"":3.71096,""same"":5.94455,""message"":4.64526,""who"":3.19301,""adapting"":5.94455,""at"":2.54335,""delivered."":6.35001,""end"":4.64526,""of"":1.59799,""be"":2.11591,""able"":3.54665}","{""(b196)"":7.04316,""efficiently"":7.04316,""making"":5.43372,""a"":2.37033,""brief:"":7.04316,""request"":7.04316,""being"":5.65687}"
Writing Briefing Notes (C110),"Briefing notes are a key part of communication with senior management and can directly influence the decision-making process. This course equips participants with the knowledge and skills they need to write briefing notes that meet specific communication goals.  Participants will learn how to prepare clear, concise and strategic briefing notes that are in line with their objectives.\n[C110]\nTopics include: \n� Purpose and types of briefing notes\n� How to write a briefing note in clear and concise language\n� Analyzing communication objectives\n� Planning, drafting and revising a briefing note",Online,"{""planning"":1,""analyzing"":1,""language"":1,""note"":2,""types"":1,""drafting"":1,""purpose"":1,""include"":1,""this"":1,""with"":3,""influence"":1,""how"":2,""process"":1,""can"":1,""revising"":1,""specific"":1,""goals"":1,""and"":6,""equips"":1,""briefing"":6,""a"":3,""making"":1,""objectives"":2,""management"":1,""the"":2,""are"":2,""decision"":1,""�"":4,""key"":1,""in"":2,""part"":1,""topics"":1,""of"":2,""communication"":3,""course"":1,""senior"":1,""skills"":1,""participants"":2,""directly"":1,""they"":1,""write"":2,""knowledge"":1,""notes"":4,""need"":1,""that"":2,""their"":1,""meet"":1,""will"":1,""to"":3,""prepare"":1,""learn"":1,""clear"":2,""concise"":2,""strategic"":1,""line"":1,""c110"":1}","{""c110"":1,""notes"":1,""briefing"":1,""writing"":1}","{""planning,"":5.09725,""objectives"":4.15279,""analyzing"":4.96372,""language"":4.27057,""note"":9.69187,""types"":4.09872,""drafting"":7.04316,""purpose"":5.2514,""this"":0.850797,""decision-making"":4.33511,""with"":4.1615,""influence"":4.20995,""how"":2.8239,""can"":2.12318,""revising"":7.04316,""specific"":4.04743,""and"":3.89741,""equips"":6.35001,""briefing"":35.6673,""a"":3.24646,""clear,"":5.43372,""management"":2.35181,""process."":3.86511,""the"":1.37758,""are"":3.67831,""�"":15.4604,""key"":2.48928,""in"":1.76391,""part"":4.09872,""[c110]"":7.04316,""topics"":2.27248,""of"":1.59799,""participants"":4.13285,""objectives."":4.96372,""communication"":10.5504,""course"":1.42276,""they"":3.11133,""directly"":6.35001,""senior"":4.4041,""skills"":3.07287,""write"":10.1945,""knowledge"":3.2365,""notes"":25.4001,""need"":3.15134,""that"":3.43057,""their"":1.93117,""meet"":4.09872,""goals."":4.27057,""will"":1.48248,""to"":2.07159,""prepare"":4.15279,""learn"":1.93721,""clear"":3.95212,""concise"":12.7,""strategic"":3.99864,""line"":6.35001,""include:"":3.5168}","{""(c110)"":7.04316,""notes"":6.35001,""briefing"":5.65687,""writing"":5.2514}"
Selection of Candidate Using an Objective Eye (C139),"Federal legislation and policies are essential to supporting a bias-free appointment process. This online course outlines the importance of an objective eye in the appointment process and identifies areas where bias might be introduced when finding the right fit for an appointment position. Participants will learn about the issues, potential concerns and strategies that can and should be implemented to ensure a bias-free appointment process. ",Online,"{""should"":1,""outlines"":1,""online"":1,""this"":1,""ensure"":1,""bias"":3,""that"":1,""appointment"":4,""introduced"":1,""participants"":1,""strategies"":1,""free"":2,""federal"":1,""of"":1,""legislation"":1,""course"":1,""policies"":1,""identifies"":1,""an"":2,""importance"":1,""will"":1,""to"":2,""the"":4,""are"":1,""and"":4,""objective"":1,""supporting"":1,""issues"":1,""eye"":1,""in"":1,""areas"":1,""when"":1,""a"":2,""might"":1,""learn"":1,""essential"":1,""be"":2,""finding"":1,""right"":1,""process"":3,""can"":1,""fit"":1,""where"":1,""for"":1,""position"":1,""about"":1,""potential"":1,""implemented"":1,""concerns"":1}","{""c139"":1,""objective"":1,""eye"":1,""an"":1,""using"":1,""candidate"":1,""of"":1,""selection"":1}","{""should"":4.09872,""eye"":7.04316,""of"":0.798993,""that"":1.71528,""outlines"":4.33511,""online"":3.11133,""this"":0.850797,""ensure"":3.82428,""bias"":5.94455,""appointment"":23.7782,""federal"":2.80905,""legislation"":5.43372,""course"":1.42276,""policies"":3.86511,""importance"":3.13114,""will"":1.48248,""to"":1.38106,""the"":2.75516,""process."":7.73021,""are"":1.83915,""and"":2.59828,""objective"":5.94455,""supporting"":5.43372,""bias-free"":14.0863,""implemented"":6.35001,""concerns"":5.94455,""in"":0.881953,""an"":3.37315,""identifies"":5.43372,""can"":2.12318,""process"":2.98272,""position."":5.65687,""areas"":4.74057,""when"":2.83847,""a"":2.16431,""might"":5.43372,""learn"":1.93721,""essential"":3.67586,""be"":4.23181,""introduced"":4.47821,""participants"":2.06643,""strategies"":3.05418,""finding"":5.94455,""right"":3.99864,""fit"":5.65687,""where"":4.33511,""for"":1.30016,""issues,"":6.35001,""about"":2.43799,""potential"":4.27057}","{""objective"":7.04316,""eye"":7.04316,""an"":3.74732,""(c139)"":7.04316,""using"":4.74057,""candidate"":7.04316,""of"":2.02588,""selection"":6.35001}"
Introduction to Risk Management (C210),"Integrated risk management is a critical aspect of the decision-making process. This course explores the fundamental concepts, terminology and processes of risk management and integrated risk management within the context of the federal public service. Participants will gain valuable knowledge and best practices to help them apply the principles of risk management and integrated risk management in their organization.\n\nTopics include: \n1.Risk management terminology and concepts\n2.Common risk management processes\n3.Integrated risk management processes",Online,"{""3"":1,""include"":1,""topics"":1,""their"":1,""in"":1,""principles"":1,""apply"":1,""them"":1,""best"":1,""knowledge"":1,""will"":1,""service"":1,""common"":1,""participants"":1,""public"":1,""valuable"":1,""federal"":1,""practices"":1,""aspect"":1,""to"":1,""management"":8,""making"":1,""of"":4,""integrated"":4,""2"":1,""organization"":1,""gain"":1,""the"":5,""a"":1,""is"":1,""course"":1,""decision"":1,""help"":1,""explores"":1,""critical"":1,""process"":1,""this"":1,""fundamental"":1,""terminology"":2,""risk"":8,""context"":1,""concepts"":2,""1"":1,""and"":5,""processes"":3,""within"":1}","{""c210"":1,""management"":1,""to"":1,""risk"":1,""introduction"":1}","{""2.common"":7.04316,""concepts"":3.78506,""include:"":3.5168,""topics"":2.27248,""their"":1.93117,""in"":0.881953,""principles"":3.67586,""3.integrated"":7.04316,""apply"":3.71096,""them"":3.45964,""1.risk"":7.04316,""knowledge"":3.2365,""will"":1.48248,""service."":3.67586,""participants"":2.06643,""public"":2.06643,""organization."":3.82428,""of"":3.19597,""integrated"":14.5378,""to"":0.690531,""management"":18.8145,""critical"":4.47821,""gain"":3.64196,""the"":3.44395,""best"":3.01781,""process."":3.86511,""a"":1.08215,""is"":1.47101,""course"":1.42276,""help"":2.64871,""explores"":3.13114,""decision-making"":4.33511,""this"":0.850797,""fundamental"":4.74057,""terminology"":10.5028,""risk"":27.0557,""context"":3.82428,""practices"":3.17196,""aspect"":5.94455,""concepts,"":5.65687,""and"":3.24785,""within"":3.07287,""processes"":12.4584,""valuable"":4.96372,""federal"":2.80905}","{""(c210)"":7.04316,""management"":2.57725,""to"":1.99973,""risk"":4.55825,""introduction"":3.74732}"
Green Procurement (C215),"It is important to incorporate environmental performance considerations into procurement decisions. This online course introduces the federal government's Policy on Green Procurement and provides detailed strategies and tools for applying its principles throughout the procurement process. Participants will explore the reasons for buying green, identify the major eco-labels and what makes a good or service green, apply life-cycle analysis and define value for money.",Online,"{""value"":1,""define"":1,""analysis"":1,""life"":1,""apply"":1,""service"":1,""or"":1,""government"":1,""the"":4,""introduces"":1,""online"":1,""what"":1,""it"":1,""this"":1,""incorporate"":1,""federal"":1,""major"":1,""important"":1,""on"":1,""money"":1,""policy"":1,""process"":1,""course"":1,""is"":1,""labels"":1,""to"":1,""its"":1,""buying"":1,""explore"":1,""considerations"":1,""cycle"":1,""will"":1,""into"":1,""good"":1,""performance"":1,""green"":3,""procurement"":3,""and"":4,""decisions"":1,""provides"":1,""detailed"":1,""throughout"":1,""s"":1,""a"":1,""strategies"":1,""participants"":1,""tools"":1,""makes"":1,""for"":3,""environmental"":1,""applying"":1,""principles"":1,""reasons"":1,""identify"":1,""eco"":1}","{""c215"":1,""procurement"":1,""green"":1}","{""value"":5.2514,""define"":4.55825,""analysis"":4.15279,""life-cycle"":5.94455,""apply"":3.71096,""service"":2.60051,""policy"":3.28196,""the"":2.75516,""introduces"":3.60917,""online"":3.11133,""what"":2.76649,""money."":7.04316,""it"":1.85577,""this"":0.850797,""incorporate"":7.04316,""federal"":2.80905,""major"":5.2514,""decisions."":5.65687,""important"":3.19301,""on"":1.6913,""course"":1.42276,""is"":1.47101,""to"":0.690531,""and"":2.59828,""green"":7.04316,""procurement"":13.0053,""its"":3.15134,""buying"":7.04316,""explore"":3.64196,""considerations"":5.65687,""will"":1.48248,""into"":3.40557,""good"":3.90767,""or"":2.43799,""green,"":14.0863,""identify"":3.45964,""performance"":3.54665,""provides"":2.5323,""detailed"":5.94455,""throughout"":5.09725,""a"":1.08215,""strategies"":3.05418,""participants"":2.06643,""tools"":3.28196,""makes"":5.43372,""for"":3.90047,""eco-labels"":7.04316,""environmental"":5.94455,""applying"":4.55825,""principles"":3.67586,""government's"":5.43372,""process."":3.86511,""reasons"":5.94455}","{""(c215)"":7.04316,""procurement"":4.15279,""green"":6.35001}"
Who We Work For (C218),"It is important that all new and experienced public servants alike have a foundational understanding of how Canada's non-partisan federal public service serves the democratically elected government of the day. This online course examines the functions and the organizational relationships between Parliament, the Government of Canada and the federal public service. Participants will explore the role of government, how Canada governs itself, the organization of the federal government, the functions of departments and central agencies and common government services.",Online,"{""central"":1,""federal"":3,""canada"":3,""day"":1,""how"":2,""foundational"":1,""partisan"":1,""online"":1,""have"":1,""all"":1,""itself"":1,""between"":1,""it"":1,""this"":1,""important"":1,""parliament"":1,""is"":1,""course"":1,""that"":1,""elected"":1,""new"":1,""public"":3,""participants"":1,""of"":6,""alike"":1,""s"":1,""a"":1,""services"":1,""servants"":1,""and"":5,""experienced"":1,""government"":5,""agencies"":1,""service"":2,""serves"":1,""the"":10,""organization"":1,""democratically"":1,""will"":1,""examines"":1,""functions"":2,""organizational"":1,""understanding"":1,""relationships"":1,""explore"":1,""role"":1,""governs"":1,""common"":1,""non"":1,""departments"":1}","{""for"":1,""work"":1,""we"":1,""c218"":1,""who"":1}","{""central"":4.55825,""common"":3.40557,""departments"":4.33511,""federal"":8.42716,""canada's"":4.33511,""services."":4.20995,""is"":1.47101,""course"":1.42276,""how"":2.8239,""foundational"":4.84594,""online"":3.11133,""have"":2.51056,""all"":2.82365,""service."":3.67586,""between"":3.60917,""it"":1.85577,""this"":0.850797,""important"":3.19301,""agencies"":4.64526,""service"":2.60051,""non-partisan"":7.04316,""that"":1.71528,""elected"":6.35001,""serves"":5.94455,""new"":2.96562,""public"":6.19928,""day."":5.65687,""participants"":2.06643,""of"":4.79396,""alike"":6.35001,""a"":1.08215,""servants"":3.57742,""and"":3.24785,""government"":7.05544,""the"":6.8879,""organization"":3.95212,""democratically"":7.04316,""will"":1.48248,""examines"":4.64526,""functions"":9.48115,""organizational"":3.54665,""understanding"":2.79466,""relationships"":3.86511,""experienced"":5.2514,""parliament,"":6.35001,""canada"":5.70701,""explore"":3.64196,""role"":3.21452,""government,"":10.1945,""governs"":5.65687,""itself,"":7.04316}","{""for"":2.28957,""(c218)"":7.04316,""work"":4.09872,""we"":5.43372,""who"":5.65687}"
